"line","text","screenname","time","searchterm","location","followerscount","favoritescount","lat","lng","coords_coords","bbox_coords","geo_coords"
87,"@WPAOG Guess where he started .... His father was our Regimental First Captain","Keydet95",2019-11-11 21:13:02,"WPAOG","Lexington, Va",725,0,NA,NA,NA,NA,NA
88,"@asforfootball @ArmyWP_Football @WestPoint_USMA @WPAOG @GoArmyWestPoint And here was the view from the sideline. https://t.co/AK2CDXxSZu","scjason911",2019-11-11 17:23:03,"WPAOG","",41,1,NA,NA,NA,NA,NA
89,"@asforfootball @ArmyWP_Football @WestPoint_USMA @WPAOG @GoArmyWestPoint Happy Veterans Day to you all. Thank you for your service. #GoArmyBeatNavy <U+0001F3F4><U+200D><U+2620><U+FE0F><U+0001F3C8><U+0001F3F4><U+200D><U+2620><U+FE0F>","timspicymccall",2019-11-11 15:42:25,"WPAOG","ÜT: 40.142727,-82.978382",381,1,NA,NA,NA,NA,NA
90,"4/7 This omission led to a world where the USMA alumni association (@WPAOG)  canonized, in monument form, the reconciliation of North and south, celebrating an era when USMA was still egregiously discriminating against the first African American cadets 
https://t.co/eb7EL5N12K","Jason_K_Dempsey",2019-11-11 00:35:08,"WPAOG","",1194,13,NA,NA,NA,NA,NA
91,"@tebenge @AEVanSaun @WestPoint_USMA @WPAOG that was some important shit for the nation...","AVSIllini",2019-11-11 00:14:14,"WPAOG","",130,1,NA,NA,NA,NA,NA
92,"@AEVanSaun @WestPoint_USMA @WPAOG Can’t believe it’s been 14 to 15 years since we spending half days at the NOC. Sometimes it doesn’t feel that long ago.","tebenge",2019-11-10 23:35:29,"WPAOG","El Paso, TX",29,2,NA,NA,NA,NA,NA
93,"Spent the morning sharing a few stories about my old roommate Dennis, and then going on a run. Can't believe it's been 14 years.

#StrongGrayLine @WestPoint_USMA @WPAOG https://t.co/jUO3ltYEwf","AEVanSaun",2019-11-10 23:09:04,"WPAOG","",634,23,NA,NA,NA,NA,NA
94,"@UticaEric @WestPoint_USMA @WPAOG Thanks for sharing Eric. I'm glad you got to know him, even briefly. Every time I attend the run I hear a new story.","AEVanSaun",2019-11-10 23:16:40,"WPAOG","",634,1,NA,NA,NA,NA,NA
95,"@AEVanSaun @WestPoint_USMA @WPAOG Only met him once, right before he deployed with the Rakkasans, he was clearly talented and a decent guy as well.  What a loss.","UticaEric",2019-11-10 23:15:05,"WPAOG","Newport, RI",622,1,NA,NA,NA,NA,NA
96,"Men &amp; women of @AirWarCollegeDL @AirWarCollege @USAFA_CCLD @AirForceGrads @USAF_ACC @AirMobilityCmd @HQUSAFEPA @PACAF @CENTCOM @ArmyWarCollege @WarInstitute @NavalWarCollege @NavalAcademy @WestPoint_USMA @WPAOG please take this survey about service in national security. <U+0001F64C> https://t.co/tviBKjuW24","ToriLeeThomas",2019-11-10 22:34:42,"WPAOG","United States",643,1,NA,NA,NA,NA,NA
97,"On this Veterans Day, celebrating giving excellence to the academies that train our best - please give to these preeminent institutions generously! They do it all well! @wpaog
 @navalacademy
 @af_academy @uscgaalumni https://t.co/BcCdMOX852","EveridgeBen",2019-11-10 17:09:14,"WPAOG","Washington",36,0,NA,NA,NA,NA,NA
98,"@ArmyWP_Football @WPAOG EXCELLENT PLAY!","smartlady1962",2019-11-10 01:08:49,"WPAOG","Massachusetts, USA",22,0,NA,NA,NA,NA,NA
99,"Game day and a great day for a parade @westpoint_usma! The @nflonfox team is here to enjoy the day along with USMA 94 for their 25th reunion. #BeatUMASS @westpointband @wpaog @commandant.usmilitaryacademy @dean.usma @masterofthesword @westpointband https://t.co/WokQXzwF2w https://t.co/tsl9z5IXTN","WestPointParent",2019-11-09 16:46:19,"WPAOG","West Point NY",5667,15,NA,NA,NA,NA,NA
100,"Game day and a great day for a parade @westpoint_usma! The @nflonfox team is here to enjoy the day along with USMA 94 for their 25th reunion. #BeatUMASS @westpointband @wpaog @commandant.usmilitaryacademy @dean.usma @masterofthesword @westpointband https://t.co/WokQXzwF2w https://t.co/XteLaCJ63y","WestPointParent",2019-11-09 15:49:52,"WPAOG","West Point NY",5667,33,NA,NA,NA,NA,NA
101,"Game day and a great day for a parade @westpoint_usma! The @nflonfox team is here to enjoy the day along with USMA 94 for their 25th reunion. #BeatUMASS @westpointband wpaog @Commandant_USMA dean.usma… https://t.co/wqeyIk8JQL","drdalton",2019-11-09 15:26:48,"WPAOG","New York",71,0,NA,NA,NA,NA,NA
102,"Game day and a great day for a parade @westpoint_usma! The @nflonfox team is here to enjoy the day along with USMA 94 for their 25th reunion. #BeatUMASS @westpointband wpaog @Commandant_USMA dean.usma… https://t.co/wqeyIkqkIj","drdalton",2019-11-09 15:26:47,"WPAOG","New York",71,0,NA,NA,NA,NA,NA
103,"West Point is beautiful in the fall! https://t.co/U1je296qdu","jackmidgley",2019-11-09 07:06:44,"WPAOG","",169,0,NA,NA,NA,NA,NA
104,"@WPAOG Is there a way to order a shirt online?","jakwilkes",2019-11-09 01:20:34,"WPAOG","",56,0,NA,NA,NA,NA,NA
105,"@WPAOG Rockin' the VV @vineyardvines @armywp_football @goarmy @GoArmyWestPoint @DrunkOldGrad @asforfootball #vineyardvines","DocDonnieH",2019-11-08 22:04:16,"WPAOG","USA",1746,2,NA,NA,NA,NA,NA
106,"@WPAOG So much fun!","HudsonValleyMag",2019-11-08 21:13:57,"WPAOG","Fishkill, NY",38149,1,NA,NA,NA,NA,NA
107,"Took some autumnal photos around post <U+0001F341><U+0001F342><U+0001F343> https://t.co/Ox3QXPizdj","ErikaNorton10",2019-11-08 20:13:52,"WPAOG","NY",566,3,NA,NA,NA,NA,NA
108,"Old Grad Plaid, our exclusive tartan for @WestPoint_USMA,  is available in a range of premium quality pieces. Celebrate 150 years of the #WPAOG with this timeless pattern at https://t.co/8NA2iIavps

#WestPointGrad #ArmyGrad #GoArmyBeatNavy #WestPointGrad #ArmyPride https://t.co/TRTe5d9p7r","OldeSchooBlazer",2019-11-08 14:58:03,"WPAOG","",2,0,NA,NA,NA,NA,NA
109,"@WPAOG Still soaring! Congrats, '94!","fhblack",2019-11-08 02:31:24,"WPAOG","Chapel Hill, NC",762,2,NA,NA,NA,NA,NA
110,"Black History is American History! A great Omega Man who epitomized service to Nation. #RQQ #O<U+03A8>F https://t.co/0c8Lb9Qhjj","AWarriorScholar",2019-11-07 01:49:58,"WPAOG","New York, USA",1089,7,NA,NA,NA,NA,NA
